Occupation,Age,Dependents,Income,Additional_Income,Credit_Score,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings
Freelancer,45,3,60567.35,5519.56,503.0,12007.26,5787.86,3047.97,4102.79,4442.34,2510.5,2382.28,3326.41,3024.33,3064.0,1614.41,9415.24
Salaried Employee,65,4,79385.16,2173.74,566.0,14775.07,7773.51,3166.83,5326.08,4406.5,3099.43,2396.96,3494.21,3191.81,2778.18,1400.59,18484.06
Salaried Employee,55,4,89261.08,5308.59,770.0,18188.25,10864.2,5041.98,7771.31,4650.1,3975.07,3448.21,3853.97,3570.7,3124.36,1689.7,23914.64
BusinessOwner,42,1,51283.7,1614.02,799.0,12147.16,4004.61,3024.23,4411.03,1922.85,2667.51,1275.27,2762.34,1605.52,2147.55,1030.48,12983.59
Unemployed,20,0,10454.25,638.86,642.0,3092.51,3018.69,2063.15,2000.0,1011.31,500.0,500.0,1500.0,1000.0,1510.42,500.0,5000.0
Unemployed,59,3,11947.96,377.87,551.0,2000.0,1510.54,1852.75,2000.0,1823.43,500.0,766.24,1500.0,1348.39,1205.36,513.51,5000.0
Salaried Employee,34,1,67953.22,2830.43,818.0,15075.56,6554.69,2711.99,5171.76,5090.26,3128.2,1227.11,3883.33,2155.6,2346.37,1289.81,12395.77
Unemployed,40,1,2229.13,98.3,778.0,2000.0,3974.26,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,699.6,500.0,5000.0
Unemployed,66,5,17092.48,1188.21,704.0,3851.86,125.79,1000.0,2000.0,1536.38,500.0,1061.52,1633.2,1246.27,0.0,500.0,5000.0
Freelancer,28,1,50969.3,3484.72,585.0,9587.16,4566.4,3244.4,3017.5,4416.26,2548.04,943.11,2641.97,2298.26,2072.48,743.89,6275.59
Salaried Employee,28,0,57134.82,1433.26,646.0,10989.23,3864.83,2340.13,4202.75,3693.75,1640.64,804.52,3169.71,1389.23,1010.16,695.72,11268.16
Freelancer,29,0,6951.68,355.22,637.0,2922.82,2123.86,1000.0,2000.0,1000.0,500.0,1142.81,1500.0,1000.0,0.0,500.0,5000.0
Salaried Employee,45,2,80183.58,2871.25,676.0,13956.33,10552.14,4289.22,6719.63,4554.39,3371.67,1708.6,3688.47,2520.06,247.71,1701.59,12981.09
Retired,60,3,57431.42,1426.02,766.0,15376.67,8248.03,1000.0,4574.55,2356.25,2010.35,1815.0,3426.91,1717.63,2003.94,1556.94,5000.0
Freelancer,54,3,105299.42,4807.94,720.0,17417.71,12365.87,3514.0,8821.42,5770.89,4603.55,3193.53,5402.67,3953.03,2708.27,2117.66,21580.19
BusinessOwner,44,2,89572.76,3926.0,564.0,16719.22,8660.84,4301.15,7840.39,5367.04,3298.47,1281.87,4935.49,3369.67,3464.98,1854.87,14386.47
Unemployed,45,2,8037.28,791.95,760.0,2347.88,255.87,1000.0,2000.0,1000.0,1025.8,500.0,1500.0,1000.0,514.25,515.61,5000.0
Freelancer,30,1,67031.61,3932.02,675.0,14574.95,4196.41,2982.26,5597.78,5562.93,2618.39,2235.16,3999.71,2074.73,2797.82,877.3,12217.58
Unemployed,57,3,6360.25,142.77,705.0,2000.0,3689.84,1000.0,2000.0,1000.0,590.05,500.0,1500.0,1000.0,0.0,500.0,5000.0
BusinessOwner,21,0,88765.77,3435.64,767.0,17638.37,9580.04,3620.4,6610.87,6269.02,3923.64,3114.73,3696.3,3684.78,3389.84,1771.84,17712.84
BusinessOwner,26,1,104785.93,7379.83,561.0,21778.29,9740.66,5630.51,8752.85,5939.09,3877.67,2949.83,5965.26,3938.4,4617.68,2265.54,16325.7
Freelancer,37,2,83892.28,7698.7,647.0,16316.32,10381.31,4776.4,7551.26,4784.2,2328.95,2873.02,3720.85,4282.62,3051.68,1532.8,15854.76
BusinessOwner,46,3,101495.53,1855.37,607.0,23085.47,8690.41,5058.55,8290.7,5026.53,4240.2,2700.2,5701.31,4466.29,3598.11,1784.53,11380.58
Retired,53,3,34895.85,432.76,525.0,8657.87,4099.52,2901.63,3750.3,1499.89,1431.98,500.0,1699.67,1000.0,1165.59,740.07,7521.87
BusinessOwner,46,3,78938.5,6900.75,678.0,17533.35,7634.91,4344.32,5552.29,5157.9,3435.45,1719.29,4534.93,3576.52,2000.89,2073.53,5000.0
Unemployed,36,2,6217.53,359.33,850.0,2000.0,1579.77,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,719.36,500.0,5000.0
Unemployed,62,4,11705.24,381.99,503.0,2182.27,1075.16,1000.0,2000.0,1456.67,500.0,855.95,1500.0,1000.0,0.0,500.0,5000.0
Unemployed,63,3,15742.98,955.48,647.0,2547.66,0.0,1000.0,2000.0,1089.58,1633.96,500.0,1500.0,1000.0,179.86,500.0,5000.0
Unemployed,43,1,16461.75,44.69,701.0,2000.0,1759.54,1000.0,2000.0,1000.0,500.0,630.87,1500.0,1000.0,0.0,500.0,5000.0
Retired,44,1,26875.01,1345.56,660.0,6095.33,4260.8,2455.85,2142.26,3331.14,1441.98,673.29,1500.0,1068.83,313.69,932.33,6928.02
Salaried Employee,26,0,81529.81,4611.03,641.0,15230.67,8109.16,4761.78,6088.4,4816.67,2973.89,2394.57,4135.66,2363.88,2895.33,1344.07,5000.0
Freelancer,25,0,53136.49,3639.07,546.0,11938.11,6476.32,4058.83,4144.12,4118.59,1957.57,2275.9,2098.79,1000.0,1947.87,965.08,10225.15
Unemployed,43,2,11179.27,332.27,669.0,2000.0,0.0,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,371.02,619.95,5000.0
BusinessOwner,52,2,87010.04,4499.62,589.0,20840.09,8661.61,5696.6,6396.51,5788.28,3078.68,2916.1,3779.03,3293.94,2729.58,1256.03,16887.74
Unemployed,68,4,0.0,0.0,475.0,2000.0,0.0,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
BusinessOwner,48,2,132279.34,7289.61,746.0,25000.0,14348.41,8085.55,11018.74,8103.55,5986.5,3892.37,7416.43,5224.44,3707.59,2569.49,10036.4
BusinessOwner,62,3,143115.85,4593.03,727.0,25000.0,14358.82,7133.94,11630.77,6703.36,5959.64,5443.46,7690.52,4842.41,3816.53,2517.74,42396.91
Unemployed,41,1,9538.63,399.08,654.0,2000.0,1988.97,1184.16,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Retired,45,2,35116.31,1056.43,668.0,8728.2,5143.2,3230.93,2630.1,3091.35,911.43,1698.06,1848.2,1831.31,1473.19,500.0,5532.53
BusinessOwner,47,2,120391.22,7587.38,736.0,21619.88,13076.55,5826.13,9018.8,7645.46,5074.06,3939.94,5895.6,4535.67,3009.38,2540.07,32899.19
BusinessOwner,69,5,70801.53,4755.67,668.0,17064.54,7489.83,3758.47,6252.39,4604.76,3910.24,1884.28,3825.01,1494.48,1700.77,1221.59,7803.7
Unemployed,40,2,8090.21,366.55,722.0,2000.0,0.0,1693.37,2000.0,1000.0,500.0,1057.37,1500.0,1000.0,0.0,500.0,5000.0
BusinessOwner,68,4,151602.13,7696.05,626.0,25000.0,15156.03,7447.1,11585.3,8519.76,5876.09,3624.01,8076.98,5207.96,4342.18,2965.87,12890.31
BusinessOwner,26,1,56297.05,1183.82,755.0,10661.05,4830.07,1493.96,4518.66,3706.91,1971.34,1428.03,2688.31,2465.59,927.43,718.98,16329.09
Unemployed,36,2,12155.86,534.94,676.0,4049.01,699.49,2750.8,2000.0,1057.66,500.0,500.0,1500.0,1000.0,420.12,500.0,5000.0
Unemployed,39,2,3506.63,171.81,666.0,2000.0,0.0,1000.0,2000.0,1182.13,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Freelancer,60,4,87095.38,8919.95,548.0,15920.36,7239.65,4513.53,6600.23,5109.83,3686.33,2056.33,4059.2,4091.03,2686.04,1595.5,18729.87
Retired,68,4,41006.52,1138.37,673.0,7758.23,1164.64,3206.33,2580.91,2785.05,1217.48,1446.73,2214.67,1000.0,1128.92,874.91,9377.71
Retired,39,2,18616.05,1475.95,583.0,2000.0,859.39,1000.0,2000.0,1130.06,500.0,500.0,1500.0,1991.99,1728.91,500.0,5000.0
BusinessOwner,41,2,132221.52,9247.2,599.0,25000.0,13512.22,5603.21,10562.33,7143.74,5665.46,3726.97,6845.34,5249.84,4314.7,2719.56,28235.38
Retired,47,3,28224.22,1569.63,585.0,4512.06,800.16,1664.95,2000.0,1000.0,587.96,1041.05,2019.21,1000.0,0.0,768.57,5796.7
BusinessOwner,59,3,89969.36,7662.91,565.0,19657.11,9020.46,2705.39,6483.1,5742.97,3429.44,2564.77,4138.81,2685.19,1813.66,1452.01,15256.14
Freelancer,68,4,86951.78,4994.69,820.0,17809.3,11545.58,4059.68,7550.76,5356.26,4211.29,2064.24,4282.3,3756.55,2647.2,1719.72,17187.65
Unemployed,26,0,15113.46,873.3,757.0,2000.0,3045.93,1000.71,2000.0,1000.0,500.0,1854.09,1500.0,1000.0,0.0,500.0,5000.0
Unemployed,20,0,4428.8,216.73,804.0,2000.0,2908.19,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Unemployed,51,2,12473.16,928.89,552.0,4062.64,1834.01,1000.0,2000.0,1252.18,633.58,500.0,1500.0,1789.15,1318.88,500.0,5000.0
Salaried Employee,32,0,34099.14,2452.73,656.0,6443.31,5161.18,3299.14,3059.2,1833.21,1938.71,601.92,1982.66,1000.0,1527.13,500.0,5000.0
Freelancer,49,2,83771.94,3140.31,547.0,19140.61,7291.25,4292.13,6290.33,5471.82,2563.71,1879.52,4730.23,3398.85,2877.84,1770.15,21289.97
Retired,42,2,35180.92,830.8,594.0,9079.21,2551.58,3190.2,2294.86,3602.09,1611.08,1468.5,1500.0,2543.11,630.3,1055.43,6496.17
Retired,38,2,29228.88,1342.79,577.0,7683.61,0.0,1201.41,2747.3,1000.0,1459.65,1037.69,1500.0,1385.57,1176.24,500.0,6700.32
Freelancer,51,3,57579.24,1957.65,749.0,10596.53,7537.14,1998.95,4804.52,2895.07,1273.59,1926.73,2725.17,1017.89,1234.32,868.14,8371.68
Freelancer,49,2,72937.67,3554.22,618.0,12427.85,9604.25,3916.06,5919.89,4208.76,3316.76,2003.12,3163.01,3321.82,2331.53,1508.26,9215.14
Freelancer,48,2,51823.14,3873.72,735.0,9137.45,4352.55,2375.37,3722.6,4273.25,2511.23,1415.02,2873.41,1142.52,910.29,635.78,8178.74
Freelancer,68,4,22328.04,912.19,698.0,4858.09,1851.88,1000.0,2090.22,1000.0,737.23,500.0,1500.0,2018.57,1731.24,500.0,5000.0
Unemployed,64,3,16324.95,802.27,834.0,4356.56,501.7,2286.03,2000.0,2528.19,1279.17,500.0,1982.76,1000.0,0.0,693.22,5000.0
Salaried Employee,48,2,93266.43,4771.55,532.0,14310.14,9900.62,4041.05,7410.32,5704.67,4298.89,3215.66,5311.29,6106.26,3660.59,1883.98,24687.31
Salaried Employee,49,3,55181.1,3695.4,751.0,11019.99,7205.51,1000.0,5137.96,3234.07,2258.8,1823.47,2765.34,3381.14,1682.67,539.78,11531.54
Freelancer,35,2,47096.74,238.41,742.0,9735.53,2095.52,3683.0,3437.32,2667.36,1658.15,1662.96,2788.53,1246.58,1070.28,500.0,13773.3
Salaried Employee,59,3,98287.09,3721.74,572.0,19102.33,10442.87,4410.06,7076.47,5548.21,3445.07,3198.39,4095.95,3947.49,3065.51,2014.37,21644.82
Salaried Employee,38,1,97820.95,5304.41,731.0,22146.74,9367.09,4283.22,7299.4,6707.75,3894.06,3376.85,6152.73,4515.75,3447.97,2215.14,7764.29
Freelancer,37,1,64533.74,4775.6,677.0,13750.31,6623.47,1461.3,5659.85,3017.21,2866.23,2080.09,2931.58,3208.28,2892.73,805.39,16314.26
Salaried Employee,20,0,56447.97,2267.06,632.0,13909.98,6333.29,4563.34,4643.2,3663.21,2095.83,1872.86,2762.15,2611.79,1912.64,1263.87,7029.04
Freelancer,33,1,29392.93,366.5,584.0,5446.67,2656.99,1000.0,2287.0,1456.23,500.0,1476.19,1500.0,2177.44,258.3,986.96,6217.39
BusinessOwner,66,4,169145.8,10553.72,592.0,25000.0,16759.2,8515.74,13277.12,9539.04,7400.19,4741.85,8700.43,6667.46,5113.32,3949.27,27277.43
BusinessOwner,69,4,102652.74,3828.2,814.0,23800.68,9944.46,6045.26,8454.9,8227.94,4201.22,2651.71,4579.47,3812.74,4351.34,2152.42,31528.31
Freelancer,21,0,43691.03,1145.0,650.0,11361.59,5824.58,2606.27,3070.73,2956.7,1557.83,717.77,2235.38,1470.15,2254.11,1025.86,11883.08
Unemployed,47,2,8875.95,332.96,713.0,2000.0,1515.73,1000.0,2000.0,1023.17,783.62,500.0,1500.0,1041.74,902.41,500.0,5000.0
Freelancer,68,5,63066.1,2920.56,587.0,12105.87,6637.49,1451.64,4679.66,4694.19,3284.96,965.12,2614.43,2814.79,2448.96,1891.25,12211.62
Unemployed,69,4,14752.56,559.2,588.0,2260.18,0.0,1000.0,2000.0,1000.0,500.0,673.65,1500.0,1000.0,932.19,500.0,5000.0
BusinessOwner,49,2,155434.18,915.3,737.0,25000.0,14975.55,7959.51,12115.99,10727.88,6434.5,4608.43,7884.6,6853.55,5474.15,2828.64,37797.04
Freelancer,57,4,82354.66,5595.28,542.0,17843.64,9583.47,3330.56,6400.67,2934.11,2580.86,3037.96,3476.99,1653.34,2151.0,1570.53,16590.97
Unemployed,23,0,26022.49,1964.63,617.0,3526.71,2658.79,1504.48,2057.38,1000.0,1290.45,500.0,1500.0,1288.95,0.0,973.95,5000.0
Salaried Employee,20,0,60373.7,3805.38,653.0,12210.42,7026.67,3700.43,4947.62,3255.2,2478.91,1709.55,3350.32,2589.8,1859.51,1869.89,9908.66
Unemployed,27,0,2118.52,57.72,659.0,2000.0,2861.62,1068.43,2000.0,1000.0,500.0,624.66,1500.0,1419.79,0.0,500.0,5000.0
Salaried Employee,48,2,93020.7,4276.18,636.0,21488.03,10859.98,3424.86,7037.83,5756.22,3471.2,3482.19,4889.83,2497.96,2052.11,2159.84,24345.64
Salaried Employee,58,4,88603.68,4418.63,682.0,16695.99,9000.11,6626.83,6892.51,5182.77,2607.53,2318.03,3971.55,4789.9,2153.92,1785.03,19616.14
Freelancer,22,0,52709.38,3266.71,705.0,10653.6,4504.45,3402.95,4969.28,3152.96,1883.19,1672.17,2451.91,2168.7,3321.0,742.85,8503.56
Salaried Employee,51,3,123336.6,7815.45,709.0,24048.02,8503.34,6165.12,9326.93,6617.78,5136.89,3847.31,6182.62,5324.66,3795.39,2909.76,28665.73
Salaried Employee,29,1,32066.12,1132.46,571.0,8705.28,2954.03,2692.84,2646.69,1000.0,1790.34,1148.81,1500.0,2623.38,1215.32,500.0,5792.77
Salaried Employee,29,1,61857.27,3194.3,627.0,6696.44,5696.71,5458.27,5696.1,4292.65,1888.38,1724.43,3544.39,2922.9,1000.06,1697.8,15125.36
Freelancer,38,2,57893.01,3424.12,746.0,11545.38,6374.85,1455.93,3974.96,4028.55,2829.25,2377.48,3003.39,2636.01,446.16,1547.42,18893.41
Retired,65,4,52903.21,4185.51,722.0,10369.01,5059.46,2419.9,4429.24,4441.79,1792.19,642.24,3099.09,2309.96,1013.76,1242.28,9631.49
BusinessOwner,53,2,114183.07,7318.01,540.0,21929.34,10937.73,3330.72,8733.51,6218.97,4748.55,3214.93,5551.93,4180.54,4432.23,2832.35,27413.1
Salaried Employee,52,2,67853.01,4463.45,678.0,17023.05,4116.2,3585.3,5175.92,4625.43,2459.17,2259.56,4055.4,2691.33,2269.58,2026.76,11041.74
Freelancer,42,2,82643.05,4270.71,492.0,14753.95,6854.35,4497.55,6209.89,4731.62,3396.81,2707.9,4048.91,2733.31,2898.31,1600.29,16064.72
BusinessOwner,47,3,85756.79,6706.97,654.0,18694.95,9290.66,4248.68,6494.61,6097.79,3876.21,3249.08,3802.24,3394.62,3089.7,1472.5,17278.12
BusinessOwner,51,3,165567.26,9635.23,802.0,25000.0,19130.59,7623.83,14606.34,10751.61,6009.18,5566.13,9367.02,4753.95,4553.07,2752.06,31510.07
Unemployed,69,5,21406.33,701.66,574.0,6804.31,1994.35,1000.0,2134.73,1453.35,516.3,500.0,1500.0,1199.49,1613.77,1101.53,6917.47
Salaried Employee,26,1,25364.57,1980.15,583.0,3738.54,3028.17,1641.76,2580.03,1250.25,1107.06,1410.87,1500.0,1000.0,317.97,500.0,5000.0
Salaried Employee,48,3,97715.99,6249.73,711.0,18077.26,11200.32,6341.23,8063.28,6631.71,5109.43,2574.46,4572.29,3639.68,3915.84,2294.83,22410.44
Freelancer,27,0,59187.3,2434.91,527.0,14029.6,4702.39,2368.35,3931.86,4068.76,1935.9,2241.06,4213.52,2543.3,2085.23,961.37,6125.63
Unemployed,20,0,12837.48,518.76,599.0,3418.14,1833.97,1081.93,2000.0,1000.0,1533.57,1290.39,1545.3,1000.0,0.0,718.23,5000.0
Unemployed,22,0,31167.63,1743.25,698.0,3143.65,2006.03,1000.0,3029.88,1000.0,2248.92,1542.5,2305.35,2790.12,411.42,500.0,8013.28
Unemployed,43,1,6518.08,386.29,599.0,2000.0,1949.05,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Retired,42,2,27833.79,1501.52,631.0,6339.52,3010.48,1000.0,2709.37,2882.36,964.28,669.12,2604.78,1000.0,1649.31,500.0,5000.0
Salaried Employee,27,0,37092.5,2085.57,710.0,9094.03,4156.93,1092.21,3319.57,3142.74,1137.67,500.0,2038.8,1000.0,1095.46,582.32,7346.81
Salaried Employee,66,5,90647.06,7614.28,684.0,16770.95,7890.81,3771.99,8177.78,4548.96,3591.78,2874.68,5020.98,3645.04,1159.57,1991.83,18207.29
Retired,56,4,33731.22,2409.45,671.0,2000.0,4433.67,1292.95,2489.61,1089.67,645.89,500.0,1776.41,2458.82,1274.96,659.21,7967.44
Unemployed,22,0,4806.44,258.65,623.0,2007.73,3607.71,1000.0,2000.0,1308.13,500.0,500.0,1500.0,1020.99,0.0,500.0,5000.0
Retired,52,2,40734.33,2803.59,680.0,5706.22,2561.57,1000.0,3077.93,1535.55,2377.81,626.66,1910.83,2312.92,183.37,727.38,7372.8
Salaried Employee,47,3,106031.54,3111.98,640.0,17171.63,10093.52,4904.46,9200.31,6769.33,3935.72,2950.75,5196.76,4678.38,4355.52,1921.1,16666.63
Salaried Employee,66,5,80681.55,4676.19,687.0,10471.66,8415.57,3992.61,5540.32,4348.04,3106.9,2406.46,4338.32,2940.43,2495.55,1438.56,11428.87
Unemployed,27,0,9817.46,846.13,610.0,3591.45,2161.36,1000.0,2000.0,1882.68,500.0,500.0,1500.0,1000.0,89.12,809.83,5000.0
BusinessOwner,53,2,154125.78,7034.16,635.0,25000.0,14573.26,9502.95,12374.76,8631.21,6352.06,4323.52,7690.55,6004.2,4344.18,3150.07,34519.2
BusinessOwner,54,3,109131.12,3606.49,571.0,21374.91,6663.57,4603.06,8509.19,7462.56,4497.49,3808.58,6211.32,4176.55,2214.64,1587.49,18848.82
Retired,51,2,40678.96,1503.42,647.0,10913.84,6106.68,1364.51,3258.18,2588.62,1659.01,1116.27,1500.0,2466.19,307.18,657.52,9719.59
Freelancer,43,2,49792.43,1404.51,585.0,11233.14,6120.0,1511.31,4456.05,3189.3,1883.28,1099.91,2744.57,2239.21,2393.21,1024.91,11117.12
Salaried Employee,33,1,34429.25,1181.09,561.0,10118.45,828.5,3519.94,2478.06,1000.0,1230.79,1146.02,2080.33,2667.02,701.16,1242.2,6960.27
Unemployed,51,3,10967.78,467.12,671.0,2000.0,185.42,1101.29,2000.0,1000.0,689.66,1310.81,1500.0,1396.7,344.48,527.97,5000.0
Unemployed,65,5,20153.68,441.14,667.0,3961.63,4367.64,1000.0,2634.53,1032.77,791.74,772.19,1500.0,1000.0,0.0,500.0,5000.0
Unemployed,62,3,21036.75,1058.41,713.0,2000.0,4275.37,2158.07,2000.0,1459.73,998.96,500.0,1500.0,1000.0,0.0,1146.24,5000.0
Unemployed,35,1,24095.21,1639.57,616.0,4360.28,3817.48,1405.46,2000.0,1000.0,1071.3,500.0,1697.73,2072.27,1149.73,500.0,5103.11
Unemployed,23,0,11995.29,381.99,683.0,2000.0,935.36,1000.0,2000.0,1000.0,1041.53,500.0,1500.0,1567.32,624.26,613.8,5000.0
Salaried Employee,56,3,92305.03,7420.0,694.0,19714.23,9354.98,4270.77,7192.16,5987.48,4030.7,2886.62,4464.98,2599.23,3996.51,1499.6,19330.88
BusinessOwner,40,1,104345.57,6283.26,686.0,20960.24,10238.17,4467.86,8315.95,6711.02,4270.25,2936.58,5350.77,5381.21,4070.44,1367.46,23500.29
Unemployed,33,0,8481.19,598.87,584.0,2943.05,2540.48,1000.0,2000.0,1000.0,1098.46,500.0,1500.0,1000.0,92.94,500.0,5000.0
Freelancer,50,2,78092.71,2877.19,662.0,17025.42,6495.51,3359.55,6789.21,5309.72,3333.84,1917.5,2842.62,3252.26,2673.85,586.75,15187.54
Freelancer,67,5,76129.5,5107.57,679.0,19535.76,6404.25,5623.23,5923.63,3628.41,3697.66,3011.15,3461.47,4337.01,2062.26,2156.22,15411.15
Freelancer,37,1,66903.8,1884.1,651.0,12750.17,8205.79,2075.9,6112.28,3729.48,2979.62,2724.11,4078.11,3751.9,3445.48,1402.44,8683.05
Freelancer,26,0,76573.4,5192.06,483.0,13432.64,7590.8,5364.83,5057.97,5912.71,2141.98,1853.88,4374.94,3584.0,3101.51,1254.07,13079.81
Salaried Employee,29,1,59335.23,3170.68,663.0,12359.21,8001.22,2855.44,5126.71,3614.77,3025.83,2116.44,3227.98,2751.98,1898.84,1322.49,12016.78
Freelancer,26,0,74014.25,4519.68,827.0,13198.29,6394.16,3999.8,5501.38,4541.91,3028.16,1631.14,3476.41,3453.69,2360.7,1537.09,12079.67
Unemployed,52,2,20234.4,535.97,621.0,7010.8,1941.27,1844.88,2304.89,3058.82,783.4,1309.19,1500.0,1000.0,1618.43,590.97,5000.0
Retired,42,2,32542.11,1044.56,592.0,5941.99,1870.59,1000.0,2674.39,1000.0,1442.36,1098.88,1500.0,1257.6,1381.97,1013.7,5436.76
Freelancer,40,1,30989.39,1919.62,680.0,5066.73,3109.98,2413.72,2142.7,2496.51,1067.08,1404.5,2323.47,1000.0,2020.72,532.81,6533.04
Salaried Employee,38,1,69035.52,2142.38,675.0,12864.47,4685.73,1000.0,5854.26,5473.32,2874.94,1213.52,3137.55,2494.99,535.51,1116.76,14209.46
Salaried Employee,67,4,113668.83,6736.48,745.0,24170.6,10635.43,4963.45,9540.1,6560.24,4250.81,3748.88,5734.15,4253.45,3732.92,2521.71,26975.19
Freelancer,38,2,64429.54,1459.8,549.0,12570.41,4288.57,2297.41,5475.31,4553.48,3214.32,1929.05,2844.62,2068.94,1572.08,1529.29,15787.79
Retired,55,3,27506.98,1841.96,709.0,4218.06,3791.58,1000.0,2000.0,1000.0,1043.49,1251.17,1796.74,1209.68,2054.67,580.36,6455.93
Freelancer,48,2,61865.48,1568.26,697.0,15703.8,7261.43,2878.32,4707.23,3162.54,2283.33,2313.4,2823.91,2215.43,2938.44,1890.58,5858.64
Salaried Employee,37,2,83894.63,5121.43,639.0,15066.59,5794.07,4580.48,6709.53,5341.65,2893.32,2549.73,4145.93,3757.57,2539.82,1546.55,21788.06
BusinessOwner,21,0,94338.19,5897.33,677.0,18938.77,11434.65,5419.57,7526.43,6299.14,3907.92,2529.73,3875.22,2475.67,3905.09,1616.81,26071.81
